[C]	0	16.625549	616
[C]	0	16.043185	616
[C]	0	16.604340	616
[C]	0	15.574448	616
[C]	0	16.564312	616
[C]	0	17.095802	616
[C]	0	16.967868	616
[C]	0	16.061687	616
[C]	0	16.384627	616
[C]	0	15.562102	616
[C-]#[O+]	0	15.675375	261 1100 1358
[C-]#[O+]	0	15.962765	261 1100 1358
[C-]#[O+]	0	15.282799	261 1100 1358
[C-]#[O+]	0	16.068879	261 1100 1358
[C-]#[O+]	0	16.351563	261 1100 1358
[C-]#[O+]	0	14.965243	261 1100 1358
[C-]#[O+]	0	15.467817	261 1100 1358
[C-]#[O+]	0	15.738242	261 1100 1358
[C-]#[O+]	0	14.735851	261 1100 1358
[C-]#[O+]	0	16.228103	261 1100 1358
[H]C([H])=C([H])[H]	0	15.867041	1366 1482 1652 1891 1894
[H]C([H])=C([H])[H]	0	15.727984	1366 1482 1652 1891 1894
[H]C([H])=C([H])[H]	0	14.660734	1366 1482 1652 1891 1894
[H]C([H])=C([H])[H]	0	14.977224	1366 1482 1652 1891 1894
[H]C([H])=C([H])[H]	0	16.636306	1366 1482 1652 1891 1894
[H]C([H])=C([H])[H]	0	16.149561	1366 1482 1652 1891 1894
[H]C([H])=C([H])[H]	0	16.041091	1366 1482 1652 1891 1894
[H]C([H])=C([H])[H]	0	15.023469	1366 1482 1652 1891 1894
[H]C([H])=C([H])[H]	0	14.992209	1366 1482 1652 1891 1894
[H]C([H])=C([H])[H]	0	16.270977	1366 1482 1652 1891 1894
[H]C#[C]	0	15.995251	119 169 915 1037 1652 1947
[H]C#[C]	0	15.539687	119 169 915 1037 1652 1947
[H]C#[C]	0	14.991313	119 169 915 1037 1652 1947
[H]C#[C]	0	15.896315	119 169 915 1037 1652 1947
[H]C#[C]	0	16.169975	119 169 915 1037 1652 1947
[H]C#[C]	0	15.104191	119 169 915 1037 1652 1947
[H]C#[C]	0	15.382655	119 169 915 1037 1652 1947
[H]C#[C]	0	15.089459	119 169 915 1037 1652 1947
[H]C#[C]	0	15.484440	119 169 915 1037 1652 1947
[H]C#[C]	0	16.052478	119 169 915 1037 1652 1947
[Si]=S	0	15.671609	97 574 1572
[Si]=S	0	15.211141	97 574 1572
[Si]=S	0	16.015987	97 574 1572
[Si]=S	0	15.078488	97 574 1572
[Si]=S	0	14.719682	97 574 1572
[Si]=S	0	16.058236	97 574 1572
[Si]=S	0	15.474563	97 574 1572
[Si]=S	0	15.738494	97 574 1572
[Si]=S	0	15.435822	97 574 1572
[Si]=S	0	16.194711	97 574 1572
[Si]=C=[Si]	0	15.256413	255 674 1382 1572
[Si]=C=[Si]	0	16.143075	255 674 1382 1572
[Si]=C=[Si]	0	15.358704	255 674 1382 1572
[Si]=C=[Si]	0	15.964938	255 674 1382 1572
[Si]=C=[Si]	0	15.803038	255 674 1382 1572
[Si]=C=[Si]	0	16.601384	255 674 1382 1572
[Si]=C=[Si]	0	16.705989	255 674 1382 1572
[Si]=C=[Si]	0	16.579361	255 674 1382 1572
[Si]=C=[Si]	0	15.709527	255 674 1382 1572
[Si]=C=[Si]	0	15.295396	255 674 1382 1572
[H][Si]([H])([H])[H]	0	14.921757	249 819 1652 1680
[H][Si]([H])([H])[H]	0	15.395130	249 819 1652 1680
[H][Si]([H])([H])[H]	0	14.156342	249 819 1652 1680
[H][Si]([H])([H])[H]	0	15.131902	249 819 1652 1680
