C1=CC#CC=1	0	291 351 363 576 735 752 1039 1277 1652 1873 1894
[Na+].[SH-]	0	243 777 1213 1652
[Na+].[OH-]	0	238 862 1213 1652
N#C[S-].[Na+]	0	34 674 790 1213 1384 1570 1593
O=N[O-].[Na+]	0	650 715 725 967 979 1060 1213
[N-]=[N+]=[N-].[Na+]	0	487 740 1213 1427 1449
C#CC(C#C)C#N	0	1 110 169 388 390 564 674 706 790 900 915 1080 1083 1369 1384 1428 1652 1865
CC1SC(=O)SC1C	0	38 49 91 198 222 314 386 616 650 675 751 1019 1057 1380 1443 1536 1556 1652 1685 1733
CN=C(C#N)OC=O	0	91 107 111 126 134 217 381 459 535 570 650 674 694 695 725 790 803 807 907 1004 1057 1195 1277 1384 1478 1552 1652
N#C/C(N)=C(/N)C#N	0	231 671 674 790 803 807 1019 1171 1384 1652 1656 1954 1961 2023
OC12CN(C1)C2	0	160 302 782 807 926 935 1060 1217 1365 1573 1652 1746 1768 1912 1988 2027
CN1C(=O)C2(C#N)C3(CCCC3)C2(C#N)C1=O	0	91 255 269 302 314 349 384 468 478 617 622 650 662 674 717 769 773 783 790 926 935 987 1057 1060 1097 1345 1363 1380 1382 1384 1440 1652 1716 1842 1863
C#CC(=O)C(=O)C#C	0	23 30 169 263 390 443 650 674 753 807 915 1052 1294 1652 1917
CC1N2CC1(C#N)C2	0	31 38 43 49 91 302 324 674 714 782 790 926 935 1019 1057 1060 1107 1234 1384 1440 1468 1601 1652 1707 1854 2005
O=CC1C2CC3CC1N32	0	49 131 138 247 302 468 474 523 650 694 705 746 811 926 935 1004 1007 1019 1241 1406 1478 1652 1678 1681 1692 1945
NC(N)=O	0	231 410 650 807 1171 1290 1569 1652 1917 1961
N#CC1(C#N)CNC1	0	232 302 529 674 790 892 926 957 1060 1114 1186 1296 1384 1440 1652 1857 1938 1961 1979
CN1C(C#N)C2(O)CC12	0	1 49 91 278 279 302 325 472 515 590 674 690 790 807 856 926 935 961 1019 1057 1060 1120 1187 1365 1384 1549 1652 1723 1778 1784 1831 1863 1912 2046
CC#CC12NC1CC2=O	0	49 91 137 164 286 302 306 314 318 351 384 404 467 499 539 602 612 650 674 732 791 819 926 1019 1057 1060 1114 1166 1380 1566 1592 1652 1721 1855 1938
C#CC(=O)C#C	0	30 127 169 181 390 514 650 674 807 915 1219 1294 1332 1652 1917
N#CC(=C1Nc2ccccc2N1)S(=O)(=O)c1ccccc1	0	71 99 213 319 350 357 363 448 498 600 650 672 674 675 711 747 790 803 807 975 1037 1073 1103 1114 1168 1289 1380 1384 1428 1476 1554 1629 1651 1652 1656 1677 1718 1837 1873 1938 1982 2038 2041
N#Cc1nonc1C#N	0	240 378 656 674 776 790 965 1136 1232 1234 1238 1290 1363 1380 1384 1542 1894
C#CC(=O)C=O	0	30 60 169 390 468 538 589 650 674 694 807 915 1004 1081 1237 1294 1478 1652 1917
C#CC1CC(=O)C1	0	49 101 169 225 294 302 309 314 366 390 650 674 699 819 915 926 1019 1186 1380 1539 1626 1652 1680 1811 1821
CCOC(=O)OCC	0	80 91 147 245 410 498 650 695 807 1057 1148 1209 1412 1556 1652 1740 1753 1839 1917 1993
COC(=O)c1cc2c(=NO)c3ccccc3sc2o1	0	24 91 113 119 145 162 215 312 363 493 536 539 542 623 632 650 656 657 675 678 695 725 807 885 938 966 978 980 1000 1005 1022 1051 1057 1067 1073 1074 1133 1152 1357 1365 1380 1404 1499 1561 1583 1604 1652 1656 1700 1754 1757 1782 1873 1910 1917 1928 1930 2006 2012
N#CC#CC#N	0	674 767 790 821 1020 1384 1597 1794
O=Cn1c(O)cnc1O	0	261 363 378 434 465 573 650 694 749 807 935 949 969 983 1004 1064 1100 1357 1365 1380 1384 1452 1478 1652 1670 1700 1762 1784 1855 1873 1887 1890
[N-]=C=C(C#[NH+])OC(=N)N	0	81 141 146 161 179 231 250 386 501 623 674 686 695 801 807 898 903 1123 1171 1418 1437 1449 1488 1491 1502 1572 1652 1662 1684 1761 1850 1961
N#CC#N	0	674 790 807 1384 1794
C#CC#CC	0	91 169 351 367 384 390 553 588 674 915 934 1020 1057 1151 1166 1263 1652 1685 2032
CNC	0	91 626 699 1048 1057 1152 1579 1652 1932
C#CCC#CC(=O)C=O	0	26 60 80 151 169 390 538 550 586 600 650 674 694 807 829 915 950 1004 1016 1081 1097 1148 1404 1478 1652 1693 1833 1850 1869 1917 2021
OCC1(CO)CCC1	0	59 80 207 302 385 395 616 622 807 808 854 926 1060 1073 1148 1315 1345 1365 1652 1735 1838 1989
N#CC(N)(C#N)C#N	0	11 114 593 672 674 790 1171 1246 1366 1384 1652 1961
C#CC(CC)(CC)CC	0	80 91 111 114 142 160 169 178 390 526 572 674 699 883 915 1057 1148 1411 1652 1670 1767 1839
C1CC1	0	302 622 926 1131 1652
CC#CC#CC#CC#N	0	76 91 108 132 351 384 674 765 767 790 1020 1057 1159 1166 1384 1538 1597 1625 1652 1685 1794 1813
N#CC1(N)CC=CCC1	0	20 118 133 188 302 363 674 675 679 698 715 745 790 926 957 971 1037 1060 1067 1171 1263 1345 1384 1386 1412 1440 1552 1630 1652 1746 1873 1961
[N-]=C=C(OC=O)C(N)=[NH2+]	0	194 231 457 535 570 650 674 694 695 724 801 807 903 946 1004 1006 1171 1277 1441 1449 1478 1535 1595 1652 1698 1763 1767 1878 1943 1961 2028
C#CC(C#C)C#C	0	1 110 169 390 481 674 706 815 900 915 1083 1428 1454 1652
CC#CC#CC	0	91 351 384 674 1020 1057 1166 1532 1538 1625 1652 1685
N#CC12C(=O)NC(=O)C1(C#N)C21CCCC1	0	69 71 199 269 302 314 349 384 617 622 650 674 713 717 783 790 848 926 1060 1114 1232 1345 1380 1382 1384 1440 1479 1572 1652 1716 1877 1938
C#Cc1cnon1	0	111 160 169 330 363 377 378 390 403 656 674 780 885 915 995 1100 1238 1298 1380 1402 1542 1629 1652 1837 1855 1873 1901
CC1(C)CCC2CN2C1	0	49 91 114 134 302 388 538 705 734 782 845 926 935 950 1019 1057 1060 1119 1234 1345 1367 1403 1414 1433 1486 1487 1542 1652 1836 1854 1884 1947
